Reporting Range=["Quarterly"],Select year=["2025"],Select quarter=["1"],Brand=["NEWELEVEN"]
"ASIN Title",ASIN,Category,"Impressions: Impressions","Impressions: Rating (Median)","Impressions: Price (Median)","Impressions: Same Day Shipping Speed","Impressions: 1D Shipping Speed","Impressions: 2D Shipping Speed","Clicks: Clicks","Clicks: Click Rate (CTR)","Clicks: Price (Median)","Clicks: Same Day Shipping Speed","Clicks: 1D Shipping Speed","Clicks: 2D Shipping Speed","Cart Adds: Cart Adds","Cart Adds: Price (Median)","Cart Adds: Same Day Shipping Speed","Cart Adds: 1D Shipping Speed","Cart Adds: 2D Shipping Speed","Purchases: Purchases","Purchases: Search Traffic Sales","Purchases: Conversion Rate %","Purchases: Rating (Median)","Purchases: Price (Median)","Purchases: Same Day Shipping Speed","Purchases: 1D Shipping Speed","Purchases: 2D Shipping Speed","Reporting Date"
"NewEleven Retirement Gifts For Woman 2025 - Happy Retirement Gifts For Coworker Leaving - Farewell, Goodbye Presents For Women, Coworkers, Friends - 20 Oz Tumbler","B095S1818R","Kitchen","3664",,"16.98","126","1657","1197","40","1.09","16.98","2","15","16","9","16.98","1","3","4","4","71.92","10.0",,"16.98","1","2","1","2025-03-31"
"NewEleven Gifts For Him, Men - Gift For Men, Women, Dad, Husband, Friend - Thank You Gifts, Appreciation Gift, Graduation Presents For Men, Nurse, Teacher, Boss, Coworker - 20 Oz Tumbler","B0978WGWY4","Kitchen","279669",,"15.98","10323","122422","89918","2689","0.96","15.98","128","1188","872","678","15.98","44","325","201","190","3531.68","7.07",,"15.98","15","107","47","2025-03-31"
"NewEleven Gifts For Brother From Sister, Bro - Best Birthday Gift For Big, Little Brother, Siblings, Brothers In Law - Funny Gag Gifts For Men - 20 Oz Tumbler","B09792XF8F","Kitchen","249105",,"19.98","13502","139303","65744","1824","0.73","19.98","107","1052","478","787","19.98","56","460","196","233","5043.24","12.77",,"19.98","18","151","53","2025-03-31"
"NewEleven Mothers Day Gifts For Mom From Daughter, Son, Kids - Unique Birthday Gift For Mom Wife, New Mother, Bonus Mama, Pregnant Mama - Funny Gifts Ideas For Mum - 20 Oz Tumbler","B097B9H21P","Kitchen","214662",,"19.98","13108","116574","47037","2865","1.33","19.98","176","1563","611","709","19.98","54","393","154","223","4578.42","7.78",,"19.98","15","144","39","2025-03-31"
"NewEleven Christmas Gift For Dad - Birthday Gifts For Dad From Daughter, Son, Kids - Husband Gifts - Birthday Present Ideas For Father, Husband, New Dad, Bonus Dad From Daughter, Son - 20 Oz Tumbler","B097B9SY89","Kitchen","23851",,"15.98","2908","14254","3880","247","1.04","15.98","34","141","39","61","15.98","11","34","14","20","338.8","8.1",,"15.98","3","11","5","2025-03-31"
"NewEleven Fathers Day Gift For Uncle From Niece, Nephew - Funny Unkie Gift, Uncle Birthday Gifts - Best Present For New Uncles, Funcle, Unky Announcement - 20 Oz Tumbler","B097H6PJCN","Kitchen","115430",,"19.98","6204","65769","26424","959","0.83","19.98","62","543","209","419","19.98","33","244","80","135","2713.26","14.08",,"19.98","12","74","24","2025-03-31"
"Neweleven Replacement Lid For 20 Oz NewEleven Tumbler - Pack of 2 lids","B0995JRMHP","Kitchen","1121",,"9.98","21","274","395","63","5.62","9.98","2","21","24","39","9.98","0","10","19","29","289.42","46.03",,"9.98","0","7","14","2025-03-31"
"NEWELEVEN Galentine Gifts For Sister From Sister, Brother - Unique Birthday Present For Sister, Soul Sister, Big Sister, Little Sister, Sister In Law, Sibling, Bestie - 20 Oz Tumbler","B09S8QLC8H","Kitchen","378",,"17.98","0","12","150","1","0.26","17.98","0","0","0","0",,"0","0","0","0","0.0","0.0",,,"0","0","0","2025-03-31"
"NewEleven Bird Watching Gifts, Gifts For Bird Lovers - Gift For Men Women - Funny Birding Gift For Birders, Birds Watchers, Birb Lovers, Men, Women, Friends - 20 Oz Tumbler","B09S9PGL4T","Kitchen","16446",,"24.98","411","6256","5808","241","1.47","24.98","9","111","67","61","24.98","2","29","12","16","399.68","6.64",,"24.98","1","8","3","2025-03-31"
"NewEleven Gifts For Women, Her - Inspirational Gift For, Mom, Wife, Friend - Thank You, Appreciation, Graduation Present For Women, Nurse, Teacher, Boss, Coworker - 20 Oz Tumbler","B09TT1GGMM","Kitchen","30189",,"15.98","103","4131","10942","266","0.88","15.98","3","47","95","59","15.98","0","13","19","11","333.65","4.14",,"15.98","0","1","4","2025-03-31"
"NewEleven 20 Oz Tumbler - Farewell Gift for Coworker, BPA-Free Stainless Steel Drinking Cup, Double Wall Vacuum Insulation, Going Away Gift for Men Women, Good Luck Gifts","B09XDFF8FF","Kitchen","145635",,"19.98","3410","66429","54019","3012","2.07","19.98","77","1406","1085","437","19.98","17","234","134","136","2884.18","4.52",,"19.98","11","76","33","2025-03-31"
"NewEleven Retirement Gifts For Woman 2025 - Happy Retirement Gifts For Coworker Leaving - Farewell, Goodbye Presents For Women, Coworkers, Friends - 20 Oz Tumbler","B09XDFLNR8","Kitchen","50943",,"19.98","497","19714","19673","870","1.71","19.98","9","317","343","219","19.98","3","91","85","61","1232.76","7.01",,"19.98","2","28","21","2025-03-31"
"NewEleven Retirement Gifts For Men Women 2025 - Retirement Party Decorations - Retired Presents For Coworker Leaving, Men, Retired People, Coworkers, Friends - 20 Oz Tumbler","B09XXP5V2W","Kitchen","337336",,"22.98","18322","198860","82350","5648","1.67","22.98","349","3174","1452","1817","22.98","113","1036","450","558","12709.02","9.88",,"22.98","38","351","117","2025-03-31"
"NewEleven Retirement Gifts For Men Women 2025 - Retirement Party Decorations - Retired Presents For Coworker Leaving, Men, Retired People, Coworkers, Friends - 20 Oz Tumbler","B09YCTFXYV","Kitchen","21719",,"21.98","164","7310","8942","296","1.36","21.98","2","115","113","71","21.98","0","34","26","25","533.48","8.45",,"19.98","0","11","10","2025-03-31"
"NewEleven Coworker Leaving Gifts - Farewell Gifts, Going Away Gift For Coworker - New Job Gift, Goodbye, Good Luck Presents For Coworkers, Friends, Boss, Men, Women - 20 Oz Tumbler","B09ZYBDMZ1","Kitchen","12754",,"19.98","172","5142","5143","93","0.73","19.98","1","31","38","14","19.98","0","7","6","3","59.94","3.23",,"19.98","0","2","1","2025-03-31"
"NewEleven Coworker Leaving Gifts - Farewell Gifts, Going Away Gift For Coworker - New Job, Goodbye, Good Luck Gift For Coworkers, Colleagues, Boss, Men, Women, Friends - 20 Oz Tumbler","B09ZYCD6GX","Kitchen","43010",,"19.98","2090","21920","12912","663","1.54","19.98","42","389","159","156","19.98","16","92","31","52","1038.96","7.84",,"19.98","3","36","10","2025-03-31"
"NewEleven Galentines Gifts New Home -Housewarming Gifts - Best, Funny Housewarming Presents for New Home, First Home, New Apartment, Housewarming Decoration Party - Lavender Candle 8Oz","B0B2JFV9YP","Home","1010",,"7.99","3","55","263","15","1.49","7.99","0","1","5","9","7.99","0","1","3","3","23.97","20.0",,"7.99","0","0","1","2025-03-31"
"NewEleven Retirement Gifts For Women 2025 - Happy Retirement Gift - Coworker Leaving Gift, Farewell Gifts, Goodbye Presents For Coworkers, Friends - 12 Oz Tumbler","B0B2WGL9ZW","Kitchen","10154",,"22.98","182","3160","3776","79","0.78","21.98","2","23","27","24","21.98","1","6","10","7","153.86","8.86",,"22.98","0","4","2","2025-03-31"
"NEWELEVEN 40th Birthday Gifts For Men, Women - 1982 40th Birthday Decorations For Men, Women - Gifts for Women Turning 40-40 Year Old Gifts For Husband, Wife, Dad, Mom - 16 Oz Coffee Glass","B0B425H79X","Kitchen","307",,"9.99","1","17","118","4","1.3","9.99","0","0","1","1","9.99","0","0","0","0","0.0","0.0",,,"0","0","0","2025-03-31"
"41st Birthday Gifts For Women - Vintage 1982 41st Birthday Decorations For Women - Best 41 Year Old Gifts Ideas For Wife, Mom, Friends, Sister - Turning 41 Presents for Female - 22 Oz Wine Glass","B0B4WNS2YH","Kitchen","435",,"23.98","1","29","110","8","1.84","23.98","0","0","1","1","23.98","0","0","0","0","0.0","0.0",,,"0","0","0","2025-03-31"
"NewEleven Galentines Gifts for Women Friendship - Funny Gifts for Friends Female - Unique Friendship Gifts for Women, Friend, Female, Bestie, BFF, Soul Sister, Work Bestie - Lavender Candle 8Oz","B0B5T79Y6M","Home","173",,"16.98","0","14","58","0","0.0",,"0","0","0","0",,"0","0","0","0","0.0",,,,"0","0","0","2025-03-31"
"NEWELEVEN 50th Birthday Gifts For Men Women - 1974 50th Birthday Decorations For Men Women - Gifts For Women Turning 50-50 Year Old Gifts For Men, Women, Mom, Dad, Wife, Husband - 20 Oz Tumbler","B0B7N8PWN3","Kitchen","1440",,"12.98","5","101","570","44","3.06","12.98","0","5","15","10","12.98","0","0","4","4","51.92","9.09",,"12.98","0","0","3","2025-03-31"
"NewEleven Coworker Leaving Gifts - Farewell Gifts, Going Away Gift For Coworker - New Job Gifts, Goodbye Gift, Good Luck Presents For Coworkers, Friends, Boss, Men, Women - 20 Oz Tumbler","B0B9RHZGFG","Kitchen","934",,"21.98","8","71","282","6","0.64","19.98","0","1","2","1","19.98","0","0","1","0","0.0","0.0",,,"0","0","0","2025-03-31"
"NewEleven Retirement Gifts For Women 2024 - Happy Retirement Gift - Coworker Leaving, Farewell, Goodbye Gifts For Coworkers, Friends - 12 Oz Tumbler","B0B9RLH8RV","Kitchen","3710",,"21.98","42","804","1545","21","0.57","21.98","0","1","12","6","21.98","0","0","2","0","0.0","0.0",,,"0","0","0","2025-03-31"
"NewEleven Gifts For Women Friendship - Funny Gifts For Friends Female - Unique Friendship Present For Her, Female, Bestie, Bff, Soul Sister, Work Bestie - 16 Oz Coffee Glass","B0B9SC1JMN","Kitchen","2085",,"15.98","8","176","661","14","0.67","15.98","0","2","4","4","15.98","0","0","2","0","0.0","0.0",,,"0","0","0","2025-03-31"
"NewEleven Mothers Day Gifts For Mom - Birthday Gifts For Mom From Kids – Unique Birthday Present Ideas For Mother, New Mom, Mom To Be, Wife From Daughter, Son, Husband - 16 Oz Coffee Glass","B0B9SF2R4R","Kitchen","19286",,"15.98","848","10011","5217","261","1.35","15.98","11","148","66","110","15.98","6","63","31","27","445.04","10.34",,"15.98","2","16","4","2025-03-31"
"NewEleven Mothers Day Gifts For Aunt From Niece, Nephew - Cool Gifts For New Aunt, Auntie, Sister - Aunts Birthday Gift - Announcement, Promoted To Aunty, Best Auntie Ever - 16 Oz Coffee Glass","B0BC8SB3Y4","Kitchen","30860",,"12.98","337","7567","14016","281","0.91","12.98","1","63","143","150","12.98","1","33","80","28","422.49","9.96",,"12.98","0","5","18","2025-03-31"
"NewEleven Gifts For Sister - Unique Birthday Present For Sisters, Soul Sis, Big, Little Sister, Sisters In Law, Sibling, Bestie - 16 Oz Coffee Glass","B0BC8WBYW7","Kitchen","3257",,"15.98","58","959","1365","36","1.11","15.98","1","11","18","20","15.98","0","6","11","8","108.37","22.22",,"15.98","0","4","4","2025-03-31"
"NewEleven Mothers Day Gifts For Wife, Her - Wife Gifts From Husband - Gift For Her - Gift Ideas For Women, Bride To Be, Fiancee, Wifey - 16 Oz Coffee Glass","B0BDLH8KX3","Kitchen","25738",,"11.99","69","3804","12130","321","1.25","11.99","2","62","147","151","11.99","1","33","74","36","443.63","11.21",,"11.99","0","9","16","2025-03-31"
"NEWELEVEN 21st Birthday Gifts for Women - 2004 Birthday Decorations - Ideas for Daughter, Sister, Best Friends - 16 Coffee Glass","B0BHVNXBS6","Kitchen","3187",,"9.99","15","596","1391","49","1.54","9.99","0","8","22","20","9.99","0","3","10","4","39.96","8.16",,"9.99","0","1","3","2025-03-31"
"NewEleven Cute Glass Coffee Cups With Lids And Straw – Aesthetic Cups – Iced Java Cup, Tumbler – Birthday Gifts For Women, Java Lover - 16 Oz Coffee Glass","B0BHVNXNYL","Kitchen","22390",,"14.98","58","1227","7670","234","1.05","14.98","1","11","95","58","14.98","0","2","25","9","149.8","3.85",,"14.98","0","0","3","2025-03-31"
"NewEleven Mothers Day Gifts For Mom - Present For Mom From Daughter, Son, Kids - Unique Birthday Gifts For Mother, New Mom, Mommy, Pregnancy - 16 Oz Coffee Glass","B0BHWDNYVL","Kitchen","6334",,"15.98","194","2707","1991","33","0.52","15.98","1","14","7","11","15.98","1","6","1","0","0.0","0.0",,,"0","0","0","2025-03-31"
"NEWELEVEN Galentines Gifts For Sister From Sister, Brother - Unique Birthday Present For Sister, Soul Sister, Big Sister, Little Sister, Sister In Law, Sibling, Bestie - 16 Oz Coffee Glass","B0BPXZJSW1","Kitchen","238",,"18.98","0","0","0","2","0.84","18.98","0","0","0","1","18.98","0","0","0","0","0.0","0.0",,,"0","0","0","2025-03-31"
"NewEleven Gifts For Women Friendship - Funny Gifts For Friends Female - Unique Friendship Present For Her, Female, Bestie, Bff, Soul Sister, Work Bestie - 16 Oz Coffee Glass","B0BRB5SPYZ","Kitchen","12552",,"15.98","242","4811","4948","93","0.74","15.98","2","37","32","28","15.98","0","9","10","4","63.92","4.3",,"15.98","0","1","2","2025-03-31"
"NewEleven Gifts For Sister - Unique Birthday Present For Soul Sister, Big, Little Sis, Sisters In Law, Sibling, Bestie - 16 Oz Coffee Glass","B0BRB6J55H","Kitchen","9785",,"15.98","1110","5926","1787","166","1.7","15.98","25","96","29","20","15.98","1","12","3","5","79.9","3.01",,"15.98","0","3","1","2025-03-31"
"NewEleven Coworker Leaving Gifts - Gifts For Coworker Farewell, Going Away, Goodbye, New Job - Good Luck Presents For Friends, Boss, Women, Work Bestie – 16 Oz Coffee Glass","B0BRB6NJCT","Kitchen","150245",,"17.98","7784","82513","44009","2546","1.69","17.98","160","1443","682","557","17.98","38","313","146","175","2907.94","6.87",,"17.98","14","107","40","2025-03-31"
"NewEleven Bridal Shower Gifts - Wedding Gifts For Bride - Bachelorette Gift, Engagement Presents For Women - Gift For Bride To Be, Fiancee, Wifey, Her - 16 Oz Coffee Glass","B0BRCCZLL8","Kitchen","25184",,"13.98","725","11481","8672","175","0.69","13.98","6","78","63","103","13.98","5","46","37","30","415.2","17.14",,"13.98","1","16","11","2025-03-31"
"NewEleven Christmas Gifts For Women Friendship - Funny Gifts For Friends Female - Unique Friendship Gift For Women, Friend, Female, Bestie, Bff, Soul Sister, Work Bestie - 16 Oz Coffee Glass","B0BRCDZRSP","Kitchen","8199",,"15.98","286","3809","2477","97","1.18","15.98","4","50","31","47","15.98","3","19","20","12","179.76","12.37",,"15.98","1","5","4","2025-03-31"
"NewEleven Mothers Day Gifts For Dog Lovers, Dogs Owners, Dog Moms, Fur Mama - Dog Mom Gifts For Women - Cute Funny Gift For Women, Best Friend, Girlfriend - 16 Oz Coffee Glass","B0BRCG7S9H","Kitchen","59335",,"16.98","2296","32292","17132","341","0.57","16.98","10","206","91","185","16.98","7","122","41","59","902.76","17.3",,"12.98","1","41","12","2025-03-31"
"NewEleven Mothers Day Gifts For Cat Mom, Cats Lover - Cat Gifts For Women - Cute Kitten Stuff, Cats Themed Gift For Women - Cute Funny Gift For Her, Best Friend - 16 Oz Coffee Glass","B0BRCJ5VYH","Kitchen","100985",,"16.98","4305","46532","32209","716","0.71","16.98","22","335","220","381","16.98","16","193","108","77","1230.02","10.75",,"16.98","4","44","22","2025-03-31"
"NewEleven Gifts For Sister From Sisters, Brother - Unique Birthday Present, Soul Sister, Big Sis Little Sis, Sisters In Law, Sibling, Bestie - 16 Oz Coffee Glass","B0BYCSHGYX","Kitchen","1235",,"15.98","14","422","475","8","0.65","15.98","0","4","1","1","15.98","0","1","0","1","15.98","12.5",,"15.98","0","1","0","2025-03-31"
"NewEleven Mothers Day Gifts For Aunt From Niece, Nephew - Cool Gifts For Auntie, Sister - Aunty Birthday Gift - Announcement, Promoted To Aunt - 16 Oz Coffee Glass","B0BYCT1SRJ","Kitchen","330824",,"17.98","15718","171803","99345","2982","0.9","17.98","140","1616","850","1520","17.98","71","840","410","346","6758.67","11.6",,"17.98","20","209","86","2025-03-31"
"NewEleven Gifts For Women, Her - Daily Reminder, Mental Health Gifts - Inspirational Present For Best Friend, Sister, Mom, Wife, Aunt, Her, Daughter, Coworker - 16 Oz Coffee Glass","B0BYDBPSBQ","Kitchen","2384",,"14.98","9","246","733","48","2.01","14.98","0","2","16","9","14.98","0","0","4","4","59.92","8.33",,"14.98","0","0","2","2025-03-31"
"NewEleven Gifts For Nurse - Nurse Gifts For Women - Caregiver Appreciation Gift, Nursing Student, Nurses Practitioner - RN Gift For Nurses Women - 16 Oz Coffee Glass","B0BYDBW7PH","Kitchen","15665",,"15.98","611","7297","4966","105","0.67","15.98","6","53","30","36","15.98","2","22","9","6","95.88","5.71",,"15.98","1","4","0","2025-03-31"
"NewEleven Gifts For Book Lovers - Book Lovers Gifts For Women - Bookish Gift for Readers, Librarians, Bookaholics, Bookworm - Birthday Gift For Women, Her, Best Friend – 16 Oz Coffee Glass","B0BYDDFNBD","Kitchen","357474",,"14.98","15797","150419","103131","2884","0.81","14.98","150","1240","813","1461","14.98","73","656","422","302","4803.39","10.47",,"14.98","10","165","72","2025-03-31"
"NEWELEVEN Christmas Gifts For Her, Women - Sarcastic Gifts For Women, Friends - Funny Joke Birthday Gifts For Her, Women, Best Friend, Sister, Coworkers - 16 Oz Coffee Glass","B0BYDDYBYW","Kitchen","580",,"19.98","0","15","185","6","1.03","19.98","0","0","3","2","19.98","0","0","0","2","39.96","33.33",,"19.98","0","0","0","2025-03-31"
"NewEleven Gifts for Women Friendship - Funny Gifts for Friends Female - Unique Friendship Gifts for Women, Friend, Female, Bestie, BFF, Soul Sister, Work Bestie - Lavender Candle 8 Oz","B0BYHP62T5","Home","285",,"9.99","0","31","98","3","1.05","9.99","0","0","2","1","9.99","0","0","1","0","0.0","0.0",,,"0","0","0","2025-03-31"
"NewEleven Cute Glass Coffee Cups With Lids And Straw – Aesthetic Cups – Iced Coffee Cup, Coffees Tumbler – Galentines Gifts For Women, Coffees Lover - 16 Oz Coffee Glass","B0C1BS7BV8","Kitchen","122822",,"16.98","628","28916","55353","1952","1.59","16.98","10","464","857","574","16.98","1","148","243","71","1386.4","3.64",,"16.98","0","24","35","2025-03-31"
"NEWELEVEN Birthday Gifts Cute Glass Coffee Cups With Lids And Straw – Aesthetic Cups – Iced Coffee Cup, Coffee Tumbler, Glass Tumbler – Gifts For Women, Coffee Lover - 16 Oz Coffee Glass","B0C1BX851W","Kitchen","8313",,"15.98","14","627","3307","139","1.67","15.98","0","13","58","33","15.98","0","3","17","5","79.9","3.6",,"15.98","0","1","1","2025-03-31"
"NewEleven Gifts Cute Glass Coffee Cups With Lids And Straw – Aesthetic Cups – Iced Java Cup, Tumbler – Gifts For Women, Java Lover - 16 Oz Coffee Glass","B0C1BYB4SH","Kitchen","26237",,"9.98","144","5414","9501","390","1.49","9.98","3","82","134","93","9.98","0","21","30","9","89.82","2.31",,"9.98","0","1","5","2025-03-31"
"NewEleven Cute Cups With Lids And Straw – Aesthetic Cups – Iced Java Cup, Coffee Tumbler, Glass Tumbler – Galentines Gifts For Women, Java Lover - 16 Oz Coffee Glass","B0C1C1F4M4","Kitchen","34320",,"9.98","187","4336","12471","622","1.81","9.98","2","92","229","163","9.98","0","12","60","28","292.44","4.5",,"9.98","0","6","12","2025-03-31"
"NewEleven Gifts For Women - Stuff For Sloth Lovers - Cute Funny Birthday Gifts For Women, Best Friend, Sister, Daughter, Coworker - 16 Oz Coffee Glass","B0C23XHCN1","Kitchen","17435",,"16.98","335","5579","7399","176","1.01","16.98","2","59","73","73","16.98","0","32","27","11","199.76","6.25",,"16.98","0","4","6","2025-03-31"
"NewEleven Penguin Gifts For Women - Penguin Stuff For Pengy Lovers - Cute Funny Birthday Gift, Gift For Women, Best Friend, Sister, Daughter, Coworker - 16 Oz Coffee Glass","B0C23Y5ZYH","Kitchen","24909",,"16.98","553","9205","10019","230","0.92","16.98","4","95","94","103","16.98","2","41","43","16","263.68","6.96",,"16.98","1","6","8","2025-03-31"
