Reporting Range=["Quarterly"],Select year=["2023"],Select quarter=["3"],Brand=["NEWELEVEN"]
"ASIN Title",ASIN,Category,"Impressions: Impressions","Impressions: Rating (Median)","Impressions: Price (Median)","Impressions: Same Day Shipping Speed","Impressions: 1D Shipping Speed","Impressions: 2D Shipping Speed","Clicks: Clicks","Clicks: Click Rate (CTR)","Clicks: Price (Median)","Clicks: Same Day Shipping Speed","Clicks: 1D Shipping Speed","Clicks: 2D Shipping Speed","Cart Adds: Cart Adds","Cart Adds: Price (Median)","Cart Adds: Same Day Shipping Speed","Cart Adds: 1D Shipping Speed","Cart Adds: 2D Shipping Speed","Purchases: Purchases","Purchases: Search Traffic Sales","Purchases: Conversion Rate %","Purchases: Rating (Median)","Purchases: Price (Median)","Purchases: Same Day Shipping Speed","Purchases: 1D Shipping Speed","Purchases: 2D Shipping Speed","Reporting Date"
"NewEleven 60th Birthday Gifts For Women - 1963 60th Birthday Decorations For Women - Happy 60th Birthday Gifts For Women - 60th Birthday Gift Ideas For Women, Mom, Wife, Aunt - 12 Oz Wine Tumbler","B08R8PXYL6","Kitchen","144595",,"19.98","2980","59082","57637","1051","0.73","19.98","17","420","402","436","19.98","11","193","168","170","3530.3","16.18",,"19.98","3","74","63","2023-09-30"
"NewEleven 40th Birthday Gifts For Men Women - 1983 40th Birthday Decorations For Men Women - 40 Year Old Birthday Gifts For Dad, Mom, Friends Turning 40-20 Oz Tumbler","B08R8R2LQF","Kitchen","409102",,"19.98","10275","181521","154310","3178","0.78","19.98","125","1381","1125","1382","19.98","38","651","481","515","10448.56","16.21",,"19.98","17","261","162","2023-09-30"
"NewEleven Bridal Shower Gifts - Wedding Gifts For Bride - Bride To Be, Bachelorette Gifts, Engagement Gifts For Women - Bride Gifts For Bride To Be, Fiancee, Wifey, Her - 12 Oz Tumbler","B08R8R7T36","Kitchen","706986",,"17.98","17718","256792","162952","3516","0.5","17.98","96","1164","738","1192","16.98","35","401","235","363","6461.6","10.32",,"16.98","13","126","66","2023-09-30"
"Retirement Gifts For Men Women 2022 - Retired Gifts For Women, Men - Retirement Party Decorations - Fun Retirement Gifts For Women, Men, Retired People, Coworkers, Friends - 12 Oz Tumbler (Rose gold)","B08R8SSBWV","Kitchen","19816",,"18.98","464","9141","6628","152","0.77","18.98","4","67","40","36","18.98","2","14","11","13","265.72","8.55",,"18.98","2","6","2","2023-09-30"
"NewEleven 50th Birthday Gifts For Men Women - 1973 50th Birthday Decorations For Men Women - Gifts For Women Turning 50-50 Year Old Gifts For Men, Women, Mom, Dad, Wife, Husband - 20 Oz Tumbler","B08R8SW1NM","Kitchen","58100",,"15.98","836","21360","23625","635","1.09","15.98","10","208","251","268","15.98","1","96","117","110","2134.34","17.32",,"15.98","1","42","46","2023-09-30"
"Coworker Leaving Gifts - Farewell Gifts, Going Away Gift For Coworker - New Job, Goodbye, Good Luck Gifts For Coworkers, Colleagues, Boss, Men, Women, Friends - 20 Oz Tumbler","B08Y8RZRHG","Kitchen","56392",,"19.98","2112","22578","16409","596","1.06","19.98","27","248","167","99","19.98","10","44","26","44","861.12","7.38",,"19.98","7","22","7","2023-09-30"
"NewEleven Gifts For Mom From Daughter, Son, Kids - Mothers Day Gifts For Mom, Women, Wife - Funny Best Birthday Gifts Ideas For Mom, Mother, Wife, Bonus Mom, Mother In Law, Mama - 20 Oz Tumbler","B08ZKX6YK9","Kitchen","75858",,"14.98","1962","24887","28321","527","0.69","14.98","17","162","201","98","14.98","2","33","40","22","378.56","4.17",,"16.98","0","11","7","2023-09-30"
"Gifts For Dad From Daughter, Son, Kids - Christmas Gifts For Dad, Men, Husband - Best Birthday Gifts For Dad, Father, New Dad, Step Dad, Bonus Dad - Funny Gag Gifts Ideas For Dad - 20 Oz Tumbler","B08ZKZ1FJK","Kitchen","226166",,"16.98","16219","86064","70096","1361","0.6","16.98","111","499","417","393","16.98","40","154","107","125","2237.5","9.18",,"16.98","15","53","30","2023-09-30"
"NewEleven Retirement Gifts For Women 2023 - Happy Retirement Gifts - Coworker Leaving Gifts, Farewell Gifts, Goodbye Gifts For Coworkers, Friends - 12 Oz Tumbler","B08ZRWW1W4","Kitchen","303907",,"19.98","13203","156295","89759","2740","0.9","19.98","130","1399","772","826","19.98","46","468","208","312","6503.6","11.39",,"19.98","20","182","76","2023-09-30"
"NewEleven Aprons For Men With Pockets - Birthday Gifts For Men, Dad, Husband, Grandpa, Uncle, Brother - Funny Apron For Dad, Husband, Grandpa, Uncle, Boyfriend - Cooking apron, Bbq apron, Grill Apron","B08ZYGT8SH","Home","468725",,"17.98","6706","101208","70214","5957","1.27","17.98","101","1620","1113","1029","17.98","16","284","179","360","6766.58","6.04",,"17.98","5","106","64","2023-09-30"
"Coworker Leaving Gifts - Farewell Gifts, Going Away Gift For Coworker - New Job, Goodbye, Good Luck Gifts For Coworkers, Colleagues, Boss, Men, Women, Friends - 20 Oz Tumbler","B092HNBJT6","Kitchen","243168",,"19.98","6155","87437","82675","3565","1.47","19.98","96","1312","1250","756","19.98","19","296","276","288","5513.14","8.08",,"19.98","9","126","99","2023-09-30"
"NewEleven Grandpa Gifts - Grandpa Birthday Gifts - Best Birthday Gifts For Papaw, Grandpa, Grandfather, New Grandpa, Promoted To Grandpa From Grandchildren, Grandkids - 20 Oz Tumbler","B094CFGN42","Kitchen","79415",,"21.98","3662","35633","18369","517","0.65","21.98","23","220","105","154","21.98","7","54","33","56","1295.84","10.83",,"21.98","1","22","10","2023-09-30"
"20 Oz Tumbler Retirement / Farewell / Goodbye Gifts For Women, Female, Colleagues, Coworkers, Friends -2023","B095S16WV3","Kitchen","9584",,"19.98","59","1963","4465","90","0.94","19.98","1","20","34","18","19.98","0","4","7","5","99.9","5.56",,"19.98","0","0","2","2023-09-30"
"Retirement Gifts For Men Women 2023 - Retired Gifts For Women, Men - Retirement Party Decorations - Fun Retirement Gifts For Women, Men, Retired People, Coworkers, Friends - 20 Oz Tumbler","B095S1818R","Kitchen","45264",,"16.98","943","19056","17066","589","1.3","16.98","15","271","214","124","16.98","5","67","33","46","813.08","7.81",,"16.98","0","25","13","2023-09-30"
"NewEleven Birthday Gifts For Men - Inspirational Gifts, Appreciation Gifts, Thank You Gifts For Men, Women, Nurse, Teacher, Boss, Coworker - 20 Oz Tumbler","B0978WGWY4","Kitchen","840972",,"19.98","22140","318567","232769","5410","0.64","19.98","191","1974","1572","1284","19.98","57","451","310","451","9834.22","8.34",,"19.98","24","178","107","2023-09-30"
"NewEleven Sister Gifts from Sister, Brother - Birthday Gifts For Sister - Gifts For Sister, Soul Sister, Big Sister, Little Sister, Sister In Law, Bestie, BFF, Women - 20 Oz Tumbler","B0978YSWP3","Kitchen","7029",,"16.99","196","2859","2461","88","1.25","16.99","2","37","33","13","16.99","1","6","4","4","75.96","4.55",,"16.99","0","3","1","2023-09-30"
"NewEleven Gifts For Brother - Brother Gifts From Sister, Brother - Big Brother Gifts, Little Brother Gifts - Birthday Gifts For Brothers From Sisters, Brother, Siblings - 20 Oz Tumbler","B09792XF8F","Kitchen","187134",,"25.98","3424","54446","36963","961","0.51","25.98","25","304","197","323","25.98","10","97","59","111","2845.74","11.55",,"25.98","7","40","15","2023-09-30"
"NewEleven Gifts For Mom From Daughter, Son, Kids - Mothers Day Gifts For Women - Funny Best Birthday Gifts Ideas For Mother, Wife, Bonus, Mother In Law, Mama - 20 Oz Tumbler","B097B9H21P","Kitchen","417797",,"17.98","16348","156270","151047","4412","1.06","17.98","174","1554","1659","855","17.98","42","331","299","270","5030.66","6.12",,"17.98","15","113","95","2023-09-30"
"Gifts For Dad From Daughter, Son, Kids - Christmas Gifts For Dad, Husband, New Dad, Step Dad, Bonus Dad","B097B9SY89","Kitchen","292792",,"16.98","27909","92130","80256","3821","1.31","16.98","357","1170","1127","716","16.98","67","224","185","216","3830.64","5.65",,"16.98","33","69","55","2023-09-30"
"NewEleven Uncle Gifts - Gifts For Uncle From Niece, Nephew - Uncle Birthday Gifts - Best Gifts For New Uncle, Funcle, Uncle Announcement - 20 Oz Tumbler","B097H6PJCN","Kitchen","135670",,"25.98","4049","49970","29285","824","0.61","25.98","23","307","173","294","25.98","10","110","56","84","2071.3","10.19",,"25.98","3","34","12","2023-09-30"
"Replacement Lid For 20 Oz NewEleven Tumbler - Pack of 2 lids","B0995JRMHP","Kitchen","702",,"9.98","5","235","271","58","8.26","9.98","0","8","12","2","9.98","0","2","0","0","0.0","0.0",,,"0","0","0","2023-09-30"
"NewEleven Bridal Shower Gifts - Wedding Gifts For Bride - Bride To Be, Bachelorette Gifts, Engagement Gifts For Women - Bride Gifts For Bride To Be, Fiancee, Wifey, Her - 20 Oz Tumbler","B09B9PKM9M","Kitchen","172874",,"19.98","2711","56788","61682","1112","0.64","19.98","15","385","387","356","19.98","3","126","109","82","1631.34","7.37",,"19.98","0","34","29","2023-09-30"
"Birthday Gifts For Women - Friendship Gifts For Women, Friends – Funny Unique Present Ideas For Her, Bff, Bestie, Soul Sister, Friends - 20 Oz Tumbler","B09BZ98BCS","Kitchen","43955",,"16.98","650","11206","12421","589","1.34","16.98","9","127","155","121","16.98","3","30","30","28","448.44","4.75",,"16.98","2","11","6","2023-09-30"
"Coworker Leaving Gifts - Farewell Gifts, Going Away Gift For Coworker - New Job, Goodbye, Good Luck Gifts For Coworkers, Colleagues, Boss, Men, Women, Friends - 20 Oz Tumbler (Motivation)","B09JBPZV8Y","Kitchen","636",,"22.98","1","92","292","34","5.35","22.98","0","1","4","0",,"0","0","0","0","0.0","0.0",,,"0","0","0","2023-09-30"
"30th Birthday Gifts For Her - 1993 30th Birthday Decorations For Women Her - 30 Year Old Gifts, 30 Birthday Idea Presents For Women, Her, Wife, Daughter, Girlfriend, Friends, Sisters - 20 Oz Tumbler","B09S8KNXQK","Kitchen","3498",,"19.99","32","781","1379","57","1.63","19.99","0","4","9","3","19.99","0","0","1","1","19.99","1.75",,"19.99","0","0","1","2023-09-30"
"NewEleven Sister Gifts from Sister, Brother - Birthday Gifts For Sister - Gifts For Sister, Soul Sister, Big Sister, Little Sister, Sister In Law, Bestie, BFF, Women - 12 Oz Tumbler","B09S8QLC8H","Kitchen","22815",,"16.98","157","7537","7680","224","0.98","16.98","1","71","64","40","16.98","0","12","15","16","259.68","7.14",,"16.98","0","5","8","2023-09-30"
"NewEleven Bird Watching Gifts, Bird Lover Gifts - Bird Gifts For Bird Lovers Men Women - Funny Birding Gifts For Birders, Bird Watchers, Bird Lovers, Men, Women, Friends, Coworkers - 20 Oz Tumbler","B09S9PGL4T","Kitchen","26021",,"25.98","226","8651","10150","486","1.87","25.98","2","132","196","99","25.98","1","29","46","31","805.38","6.38",,"25.98","1","9","14","2023-09-30"
"Birthday Gifts For Women - Thank You Gifts, Women Gifts, Graduation Gifts, Inspirational Gifts For Women, Best Friend, Sister, Mom, Wife, Aunt, Her, Daughter, Coworker, Boss, Employee - 20 Oz Tumbler","B09TT1GGMM","Kitchen","64821",,"19.98","1746","20206","23040","441","0.68","19.98","17","124","163","60","19.98","5","16","20","20","351.6","4.54",,"19.98","3","7","5","2023-09-30"
"NewEleven Gifts For Men - Birthday Gifts For Old Men - Funny Gag Gifts For Husband, Dad, Uncle, Grandpa, Brother, Boss, Coworker - 20 Oz Beer Glass","B09V4PBVVB","Kitchen","8378",,"19.98","26","945","2606","87","1.04","19.98","0","2","12","6","19.98","0","2","2","1","19.98","1.15",,"19.98","0","1","0","2023-09-30"
"Gifts For Grandma - Grandma Birthday Gifts - Nana Gifts, Mimi Gifts, Gigi Gifts For Grandma - Best Grandma Gifts From Grandchildren, Grandkids - First Time Grandma, Grammy Gifts - 20 Oz Tumbler","B09X365CSN","Kitchen","31137",,"14.98","249","7926","12998","362","1.16","14.98","5","72","157","56","14.98","1","14","26","14","184.72","3.87",,"14.98","0","6","5","2023-09-30"
"NewEleven Coworker Leaving Gifts - Farewell Gifts, Going Away Gift For Coworker, Boss, Friends - New Job Gifts, Goodbye Gifts, Good Luck Gifts For Coworkers, Friends, Boss, Men, Women - 20 Oz Tumbler","B09XDFF8FF","Kitchen","339770",,"21.98","11227","139277","112530","6100","1.8","21.98","221","2488","2002","806","21.98","31","355","253","278","6252.36","4.56",,"21.98","13","131","83","2023-09-30"
"Retirement Gifts For Women 2023 - Retired Gifts For Women - Female Retirement Gifts - Coworker Leaving Gifts, Farewell Gifts, Goodbye Gift For Women, Colleagues, Coworkers, Friends - 20 Oz Tumbler","B09XDFLNR8","Kitchen","180380",,"22.98","3901","83204","61207","2271","1.26","22.98","53","1008","795","567","20.98","13","259","195","198","4429.96","8.72",,"20.98","8","101","61","2023-09-30"
"NewEleven Gifts For Dad From Daughter - Christmas Gifts For Dad, Men, Husband - Dad Gifts From Daughter - Best Birthday Gifts For Dad, Father From Daughter, Wife - 20 Oz Tumbler","B09XDZL14H","Kitchen","2375",,"21.98","30","280","945","41","1.73","16.98","0","14","12","4","21.98","0","0","1","0","0.0","0.0",,,"0","0","0","2023-09-30"
"Retirement Gifts For Men Women 2023 - Retirement Party Decorations For Retired People, Coworkers, Friends - 20 Oz Tumbler","B09XXP5V2W","Kitchen","149054",,"18.98","4917","71131","52439","2021","1.36","18.98","88","879","735","514","18.98","27","236","172","183","3589.2","9.05",,"18.98","11","94","56","2023-09-30"
"Retirement Gifts For Men Women 2023 - Retired Gifts For Women, Men - Retirement Party Decorations - Fun Retirement Gifts For Women, Men, Retired People, Coworkers, Friends - 20 Oz Tumbler","B09YCTFXYV","Kitchen","127633",,"19.98","3616","60050","41061","1497","1.17","19.98","51","716","426","313","19.98","16","174","72","132","2652.36","8.82",,"19.98","5","70","35","2023-09-30"
"NewEleven Sister Gifts from Sister, Brother - Birthday Gifts For Sister - Gifts For Sister, Soul Sister, Big Sister, Little Sister, Sister In Law, Bestie, BFF, Women - 12 Oz Tumbler","B09YDBRN33","Kitchen","4448",,"16.98","32","1111","1584","31","0.7","16.98","0","4","11","6","16.98","0","1","2","2","30.97","6.45",,"13.99","0","0","1","2023-09-30"
"Retirement Gifts For Men Women 2023 - Retired Gifts For Women, Men - Retirement Party Decorations - Fun Retirement Gifts For Women, Men, Retired People, Coworkers, Friends - 20 Oz Tumbler","B09ZYB5MBT","Kitchen","81",,"18.98","0","2","24","1","1.23","18.98","0","0","0","0",,"0","0","0","0","0.0","0.0",,,"0","0","0","2023-09-30"
"NewEleven Coworker Leaving Gifts - Farewell Gifts, Going Away Gift For Coworker - New Job Gifts, Goodbye Gifts, Good Luck Gifts For Coworkers, Friends, Boss, Men, Women - 20 Oz Tumbler","B09ZYBDMZ1","Kitchen","27132",,"21.98","613","12265","9828","378","1.39","21.98","11","170","130","54","21.98","0","30","15","24","525.52","6.35",,"21.98","0","13","7","2023-09-30"
"Coworker Leaving Gifts - Farewell Gifts, Going Away Gift For Coworker - New Job, Goodbye, Good Luck Gifts For Coworkers, Colleagues, Boss, Men, Women, Friends - 20 Oz Tumbler","B09ZYCD6GX","Kitchen","20353",,"22.98","318","5354","8347","245","1.2","22.98","4","66","106","50","22.98","2","12","23","13","280.74","5.31",,"22.98","2","2","6","2023-09-30"
"NewEleven Gifts For Dad, Bonus Dad, Step Dad Gifts From Daughter, Son - Birthday Present Idea For Bonus Dad, Step Dad, Step Father, Stepped Up Dad - 20 Oz Tumbler","B0B176NPZ1","Kitchen","6060",,"21.98","67","1504","1858","75","1.24","19.98","1","17","12","10","21.98","0","2","2","1","21.98","1.33",,"21.98","0","0","0","2023-09-30"
"Birthday Gifts for Women - Best Friend Giftss for Women - Mom Birthday Gifts, Sisters Gifts from Sister - Best Friend, Friendship Gifts, Candles Gifts for Women, Mom, BFF, Wife - Lavender Candle 8oz","B0B1T794ZP","Home","133535",,"18.98","2201","35834","38946","704","0.53","18.98","12","213","247","197","18.98","3","57","75","47","872.98","6.68",,"18.98","1","18","13","2023-09-30"
"House Warming Gifts New Home - Best, Funny Housewarming Presents For New Home, First Home, New Apartment, Housewarming Decoration Party - Unique New House Gift Ideas, Moving Gifts -Lavender Candle 8Oz","B0B2JFV9YP","Home","5573",,"18.98","18","537","2489","70","1.26","18.98","0","10","24","17","18.98","0","2","8","3","54.94","4.29",,"18.98","0","1","0","2023-09-30"
"NewEleven Birthday Gifts For Women - Inspirational Gifts For Women, Mom, Wife, Friend - Thank You Gifts, Appreciation Gifts, Graduation Gifts For Women, Nurse, Teacher, Coworker - 12 Oz Tumbler","B0B2WCM31Q","Kitchen","704",,"19.98","15","140","309","8","1.14","19.98","0","2","1","0",,"0","0","0","0","0.0","0.0",,,"0","0","0","2023-09-30"
"NewEleven Birthday Gifts For Women - Inspirational Gifts For Women, Mom, Wife, Friend - Thank You Gifts, Appreciation Gifts, Graduation Gifts For Women, Nurse, Teacher, Coworker - 12 Oz Tumbler","B0B2WG2K43","Kitchen","710",,"16.99","1","68","202","6","0.85","16.99","0","2","3","0",,"0","0","0","0","0.0","0.0",,,"0","0","0","2023-09-30"
"NewEleven Retirement Gifts For Women 2023 - Happy Retirement Gifts - Coworker Leaving Gifts, Farewell Gifts, Goodbye Gifts For Coworkers, Friends - 12 Oz Tumbler","B0B2WGL9ZW","Kitchen","25244",,"19.98","915","12120","7977","209","0.83","19.98","13","99","62","52","19.98","1","24","20","20","399.6","9.57",,"19.98","0","10","6","2023-09-30"
"30th Birthday Gifts For Her Him - 1992 30th Birthday Decorations For Him Her - 30 Year Old Gifts, 30 Birthday Idea Presents For Men, Women, Friends, Sister, Brother - 16 Oz Coffee Beer Can Glass…","B0B4255CBQ","Kitchen","871",,"22.98","0","42","181","10","1.15","22.98","0","2","4","3","22.98","0","1","0","0","0.0","0.0",,,"0","0","0","2023-09-30"
"NewEleven 40th Birthday Gifts For Men, Women - 1982 40th Birthday Decorations For Men, Women - Gifts for Women Turning 40-40 Year Old Gifts For Husband, Wife, Dad, Mom - 16 Oz Coffee Beer Can Glass","B0B425H79X","Kitchen","157",,"22.98","0","15","34","1","0.64","22.98","0","0","1","1","22.98","0","0","1","1","22.98","100.0",,"22.98","0","0","1","2023-09-30"
"51th Birthday Gifts For Women - Vintage 1972 51th Birthday Decorations For Women - Best 51 Year Old Gifts Ideas For Wife, Mom, Sister, Friends - Turning 51 Presents For Female - 22 Oz Wine Glass","B0B4WLVWTF","Kitchen","4321",,"16.98","0","405","1536","101","2.34","16.98","0","7","32","28","16.98","0","4","12","7","118.86","6.93",,"16.98","0","2","3","2023-09-30"
"41st Birthday Gifts For Women - Vintage 1982 41st Birthday Decorations For Women - Best 41 Year Old Gifts Ideas For Wife, Mom, Friends, Sister - Turning 41 Presents for Female - 22 Oz Wine Glass","B0B4WNS2YH","Kitchen","5425",,"16.98","6","368","923","97","1.79","16.98","1","10","15","17","16.98","0","4","6","5","116.9","5.15",,"16.98","0","1","2","2023-09-30"
"61th Birthday Gifts For Women - Vintage 1962 61th Birthday Decorations For Women - Best 61 Year Old Gifts Ideas For Wife, Mom, Grandma, Friends - Turning 61 Presents For Female - 22 Oz Wine Glass","B0B4WQMS2D","Kitchen","1980",,"16.98","2","52","184","31","1.57","16.98","0","3","3","6","16.98","0","2","1","1","16.98","3.23",,"16.98","0","1","0","2023-09-30"
"Gifts for Mom from Daughter, Son, Kids - Birthday Gifts for Mom - Mom Gifts - Best Birthday Gifts Ideas for Mom, Mother, Wife, New Mom, Bonus Mom from Daughter, Son, Husband","B0B5RJWDFX","Home","56027",,"18.98","3694","28837","13328","463","0.83","18.98","24","224","110","99","18.98","12","39","31","28","500.42","6.05",,"18.98","8","9","9","2023-09-30"
"Birthday Gifts for Women - Best Friend Giftss, Funny Unique Gag Gifts for Women, Her, Bestie, BFF, Sister - Going Away Gifts for Coworker, Long Distance Friendship Presents - Lavender Candle 8 Oz","B0B5T5DP6Y","Home","230",,"16.98","5","57","70","8","3.48","18.98","0","2","1","1","16.98","0","0","0","1","16.98","12.5",,"16.98","0","0","0","2023-09-30"
"Best Friend Giftss For Women - Get Well Soon Gifts For Women, Men - Friendship Birthday Presents For Mom, Wife, Sister, BFF, Bestie, Her - Condolence Inspirational Sympathy Gifts - Lavender Candle 8Oz","B0B5T79Y6M","Home","1329",,"18.98","11","372","626","10","0.75","18.98","0","2","4","2","18.98","0","1","0","0","0.0","0.0",,,"0","0","0","2023-09-30"
"Get Well Soon Gifts for Women – Sympathy Gifts - Thinking of You, After Surgery, Sorry for Your Loss, Condolence, Divorce, Cancer Gifts for Women, Men, Sister, Best Friend - Lavender Candle 8 Oz","B0B5XHNWN4","Home","1287",,"18.98","20","289","570","5","0.39","32.98","1","1","0","1","16.98","0","1","0","0","0.0","0.0",,,"0","0","0","2023-09-30"
"Birthday Gifts For Women - Thank You Gifts, Women Gifts, Graduation Gifts, Inspirational Gifts For Women, Best Friend, Sister, Mom, Wife, Aunt, Her, Daughter, Coworker, Boss, Employee - 20 Oz Tumbler","B0B68YP7N8","Kitchen","8643",,"19.98","316","3013","2801","33","0.38","19.98","4","10","11","10","19.98","0","4","4","4","99.9","12.12",,"19.98","0","3","0","2023-09-30"
"NewEleven 50th Birthday Gifts For Women - 1973 50th Birthday Decorations For Women - Gifts For Women Turning 50 - 50 Year Old Gifts For Women, Mom, Wife, Friends - 12 Oz Wine Tumbler","B0B69126RL","Kitchen","1816",,"14.98","54","845","664","16","0.88","14.98","0","8","5","9","14.98","0","6","3","4","107.86","25.0",,"14.98","0","2","2","2023-09-30"
"30th Birthday Gifts For Her - 1993 30th Birthday Decorations For Women Her - 30 Year Old Gifts, 30 Birthday Idea Presents For Women, Her, Wife, Daughter, Girlfriend, Friends, Sisters - 12 Oz Tumbler","B0B69QP6DS","Kitchen","14626",,"16.98","138","5154","6805","141","0.96","16.98","0","50","70","60","16.98","0","21","33","19","339.6","13.48",,"16.98","0","6","10","2023-09-30"
"NewEleven Gifts For Grandma - Birthday Gifts For Grandma, Nana, Gigi, Mimi, Grammy - Best Gifts For First Time Grandma, Grandchildren, Granddaughter, Grandson, Grandkids - 20 Oz Tumbler","B0B6BSDKB1","Kitchen","37874",,"14.98","1185","16151","11957","578","1.53","14.98","21","241","173","114","14.98","4","45","42","47","724.02","8.13",,"14.98","1","21","17","2023-09-30"
"NewEleven Gifts For Grandma - Birthday Gifts For Grandma, Nana, Gigi, Mimi, Grammy - Best Gifts For First Time Grandma, Grandchildren, Granddaughter, Grandson, Grandkids - 20 Oz Tumbler","B0B6BTRYHC","Kitchen","5259",,"14.98","284","2678","1509","71","1.35","14.98","5","36","20","15","14.98","4","9","2","3","44.94","4.23",,"14.98","1","0","2","2023-09-30"
"NewEleven Gifts For Grandma - Birthday Gifts For Grandma, Nana, Gigi, Mimi, Grammy - Best Gifts For First Time Grandma, Grandchildren, Granddaughter, Grandson, Grandkids - 20 Oz Tumbler","B0B6BTSHMG","Kitchen","4941",,"14.98","47","1361","1076","92","1.86","14.98","0","24","23","20","14.98","0","7","2","6","89.88","6.52",,"14.98","0","1","1","2023-09-30"
